Model,R-Square (%),MeanAbsoluteError,MeanSquaredError,RootMeanSquaredError
Linear Regression,7.251,16106.997,561343873.722,23692.697
"MinMax Scaled [0,1]",7.251,0.025,0.001,0.037
"MinMax Scaled [-1,1]",7.251,0.051,0.006,0.075
Standard Normal Scaled,7.251,0.651,0.918,0.958
1 Best Features,4.48,16037.624,578112411.901,24043.968
2 Best Features,4.488,16037.195,578061314.66,24042.906
3 Best Features,6.07,16191.527,568486052.755,23842.946
4 Best Features,6.433,16174.342,566293869.624,23796.93
5 Best Features,6.45,16169.453,566187994.585,23794.705
6 Best Features,7.0,16132.328,562859419.982,23724.658
7 Best Features,7.067,16130.846,562454203.609,23716.117
8 Best Features,7.068,16130.804,562450649.45,23716.042
9 Best Features,7.137,16121.752,562029416.268,23707.16
10 Best Features,7.134,16121.8,562046311.087,23707.516
11 Best Features,7.132,16121.891,562061372.993,23707.834
12 Best Features,7.256,16104.711,561311151.205,23692.006
13 Best Features,7.256,16104.964,561310493.608,23691.992
14 Best Features,7.256,16104.972,561308565.713,23691.951
15 Best Features,7.251,16106.997,561343873.722,23692.697
