Datetime,Weekly_Sales,FirstDiff,SeasonalFirstDiff
2010-02-05,49750740.49999988,,
2010-02-12,48336677.63000006,-1414062.8699998185,
2010-02-19,48276993.78000006,-59683.85000000149,
2010-02-26,43968571.12999993,-4308422.650000133,
2010-03-05,46871470.3,2902899.170000069,
2010-03-12,45925396.50999998,-946073.790000014,
2010-03-19,44988974.64000006,-936421.8699999228,
2010-03-26,44133961.050000034,-855013.5900000259,
2010-04-02,50423831.260000035,6289870.210000001,
2010-04-09,47365290.440000035,-3058540.8200000003,
2010-04-16,45183667.080000006,-2181623.360000029,
2010-04-23,44734452.56000002,-449214.5199999884,
2010-04-30,43705126.709999874,-1029325.850000143,
2010-05-07,48503243.51999991,4798116.810000032,
2010-05-14,45330080.19999999,-3173163.3199999183,
2010-05-21,45120108.05999994,-209972.1400000453,
2010-05-28,47757502.56000001,2637394.500000067,
2010-06-04,50188543.119999915,2431040.5599999055,
2010-06-11,47826546.72000009,-2361996.399999827,
2010-06-18,47622046.22999998,-204500.4900001064,
2010-06-25,46609036.29000002,-1013009.9399999604,
2010-07-02,48917484.50000017,2308448.21000015,
2010-07-09,47899529.37000009,-1017955.1300000846,
2010-07-16,46243899.57999996,-1655629.7900001258,
2010-07-23,44888849.109999955,-1355050.4700000063,
2010-07-30,44630363.41999992,-258485.69000003487,
2010-08-06,48204999.11999994,3574635.700000018,
2010-08-13,46464418.40999996,-1740580.7099999785,
2010-08-20,47060952.919999994,596534.5100000352,
2010-08-27,45909740.44000011,-1151212.479999885,
2010-09-03,47194257.61,1284517.16999989,
2010-09-10,45634397.840000056,-1559859.7699999437,
2010-09-17,43080726.50999983,-2553671.330000229,
2010-09-24,41358514.41000003,-1722212.0999997929,
2010-10-01,42239875.86999992,881361.4599998891,
2010-10-08,45102974.229999974,2863098.3600000516,
2010-10-15,43149473.45000014,-1953500.7799998373,
2010-10-22,43066669.51999998,-82803.93000015616,
2010-10-29,43602830.94999994,536161.4299999624,
2010-11-05,45781981.89,2179150.940000057,
2010-11-12,46124800.829999916,342818.93999991566,
2010-11-19,45125584.18000006,-999216.649999857,
2010-11-26,65821003.240000084,20695419.060000025,
2010-12-03,49909027.88000007,-15911975.360000014,
2010-12-10,55666770.389999814,5757742.509999745,
2010-12-17,61820799.85,6154029.460000187,
2010-12-24,80931415.60000007,19110615.750000067,
2010-12-31,40432519.000000075,-40498896.599999994,
2011-01-07,42775787.76999989,2343268.769999817,
2011-01-14,40673678.039999954,-2102109.729999937,
2011-01-21,40654648.029999994,-19030.00999996066,
2011-01-28,39599852.990000054,-1054795.0399999395,
2011-02-04,46153111.12,6553258.129999943,
2011-02-11,47336192.78999979,1183081.6699997932,2597144.5399996117
2011-02-18,48716164.119999975,1379971.3300001845,1439655.180000186
2011-02-25,44125859.84000007,-4590304.279999904,-281881.6299997717
2011-03-04,46980603.73999991,2854743.899999842,-48155.270000226796
2011-03-11,44627319.39999998,-2353284.339999929,-1407210.549999915
2011-03-18,44872325.97000003,245006.570000045,1181428.4399999678
2011-03-25,42876199.18000005,-1996126.7899999768,-1141113.1999999508
2011-04-01,43458991.190000035,582792.009999983,-5707078.200000018
2011-04-08,45887466.799999945,2428475.60999991,5487016.42999991
2011-04-15,44973328.14000003,-914138.6599999145,1267484.7000001147
2011-04-22,48676692.05999989,3703363.91999986,4152578.4399998486
2011-04-29,43530032.77999999,-5146659.279999904,-4117333.4299997613
2011-05-06,46861958.2900002,3331925.510000214,-1466191.2999998182
2011-05-13,45446144.81999999,-1415813.4700002074,1757349.849999711
2011-05-20,44046598.01000008,-1399546.809999913,-1189574.6699998677
2011-05-27,45293457.03999987,1246859.0299997926,-1390535.4700002745
2011-06-03,48771994.18000002,3478537.1400001496,1047496.5800002441
2011-06-10,47669734.66000002,-1102259.5200000033,1259736.8799998239
2011-06-17,47447561.77000003,-222172.8899999857,-17672.3999998793
2011-06-24,45884094.579999946,-1563467.190000087,-550457.2500001267
2011-07-01,47578519.50000006,1694424.9200001135,-614023.2900000364
2011-07-08,47859263.78,280744.2799999416,1298699.4100000262
2011-07-15,45515929.91999994,-2343333.860000059,-687704.0699999332
2011-07-22,45274411.39000012,-241518.52999982238,1113531.9400001839
2011-07-29,43683274.27999995,-1591137.1100001708,-1332651.420000136
2011-08-05,48015466.97000004,4332192.6900000945,757556.9900000766
2011-08-12,46249569.2100001,-1765897.7599999458,-25317.049999967217
2011-08-19,46917347.61999986,667778.4099997655,71243.89999973029
2011-08-26,47416948.45000011,499600.8300002441,1650813.310000129
2011-09-02,45376623.26999996,-2040325.1800001487,-3324842.3500000387
2011-09-09,46763227.53000005,1386604.2600000948,2946464.0300000384
2011-09-16,43793960.07999998,-2969267.45000007,-415596.11999984086
2011-09-23,42718096.7299999,-1075863.3500000834,646348.7499997094
2011-09-30,42195830.80999997,-522265.9199999273,-1403627.3799998164
2011-10-07,47211688.36000014,5015857.550000168,2152759.190000117
2011-10-14,44374820.29999992,-2836868.0600002185,-883367.2800003812
2011-10-21,45818953.43999992,1444133.1400000006,1526937.0700001568
2011-10-28,45855821.05000005,36867.610000126064,-499293.8199998364
2011-11-04,48655544.3000002,2799723.250000149,620572.3100000918
2011-11-11,48474224.75000006,-181319.55000013858,-524138.49000005424
2011-11-18,46438980.559999995,-2035244.1900000647,-1036027.5400002077
2011-11-25,66593605.25999993,20154624.699999936,-540794.3600000888
2011-12-02,49390556.4899999,-17203048.770000033,-1291073.4100000188
2011-12-09,55561147.70000017,6170591.210000269,412848.7000005245
2011-12-16,60085695.93999998,4524548.239999816,-1629481.2200003713
2011-12-23,76998241.30999984,16912545.369999856,-2198070.3800002113
2011-12-30,46042461.03999984,-30955780.269999996,9543116.329999998
2012-01-06,44955421.950000025,-1087039.0899998173,-3430307.8599996343
2012-01-13,42023078.47999996,-2932343.470000066,-830233.7400001287
2012-01-20,42080996.56000003,57918.08000007272,76948.09000003338
2012-01-27,39834974.670000054,-2246021.8899999782,-1191226.8500000387
2012-02-03,46085608.08999996,6250633.419999905,-302624.71000003815
2012-02-10,50009407.91999999,3923799.830000028,2740718.160000235
2012-02-17,50197056.95999993,187649.0399999395,-1192322.290000245
2012-02-24,45771506.56999987,-4425550.390000053,164753.88999985158
2012-03-02,46861034.97000005,1089528.4000001773,-1765215.4999996647
2012-03-09,47480454.110000014,619419.1399999633,2972703.4799998924
2012-03-16,46901504.940000065,-578949.1699999496,-823955.7399999946
2012-03-23,44993794.45000002,-1907710.4900000468,88416.29999992996
2012-03-30,45272862.01999999,279067.5699999705,-303724.4400000125
2012-04-06,53502315.87,8229453.850000009,5800978.240000099
2012-04-13,46629261.409999974,-6873054.460000023,-5958915.800000109
2012-04-20,45072529.780000016,-1556731.629999958,-5260095.549999818
2012-04-27,43716798.88999998,-1355730.8900000378,3790928.3899998665
2012-05-04,47124197.930000074,3407399.040000096,75473.52999988198
2012-05-11,46925878.99000018,-198318.9399998933,1217494.5300003141
2012-05-18,46823939.22000004,-101939.77000013739,1297607.0399997756
2012-05-25,47892463.30999993,1068524.0899998844,-178334.9399999082
2012-06-01,48281649.72000005,389186.4100001231,-3089350.7300000265
2012-06-08,49651171.78000006,1369522.0600000098,2471781.580000013
2012-06-15,48412110.70000001,-1239061.0800000504,-1016888.1900000647
2012-06-22,47668284.96999992,-743825.7300000936,819641.4599999934
2012-06-29,46597112.12000013,-1071172.8499997854,-2765597.769999899
2012-07-06,51253021.87999992,4655909.759999789,4375165.479999848
2012-07-13,46099732.099999964,-5153289.7799999565,-2809955.9199998975
2012-07-20,46059543.450000085,-40188.6499998793,201329.87999994308
2012-07-27,44097154.970000006,-1962388.4800000787,-371251.3699999079
2012-08-03,47485899.55999997,3388744.5899999663,-943448.1000001281
2012-08-10,47403451.04000004,-82448.51999993622,1683449.2400000095
2012-08-17,47354452.05000001,-48998.99000002444,-716777.3999997899
2012-08-24,47447323.60000003,92871.55000001937,-406729.2800002247
2012-08-31,47159639.42999998,-287684.17000005394,1752641.0100000948
2012-09-07,48330059.30999995,1170419.8799999729,-216184.3800001219
2012-09-14,44226038.6499999,-4104020.6600000486,-1134753.2099999785
2012-09-21,44354547.1100001,128508.46000020206,1204371.8100002855
2012-09-28,43734899.40000004,-619647.7100000605,-97381.79000013322
2012-10-05,47566639.310000025,3831739.9099999815,-1184117.6400001869
2012-10-12,46128514.250000045,-1438125.05999998,1398743.0000002384
2012-10-19,45122410.57000012,-1006103.6799999252,-2450236.819999926
2012-10-26,45544116.290000014,421705.7199998945,384838.10999976844
