,Datetime,Store,Dept,Weekly_Sales
113,2012-04-06,1,1,57592.12
114,2012-04-13,1,1,34684.21
115,2012-04-20,1,1,16976.19
116,2012-04-27,1,1,16347.6
117,2012-05-04,1,1,17147.44
118,2012-05-11,1,1,18164.2
119,2012-05-18,1,1,18517.79
120,2012-05-25,1,1,16963.55
121,2012-06-01,1,1,16065.49
122,2012-06-08,1,1,17666.0
123,2012-06-15,1,1,17558.82
124,2012-06-22,1,1,16633.41
125,2012-06-29,1,1,15722.82
126,2012-07-06,1,1,17823.37
127,2012-07-13,1,1,16566.18
128,2012-07-20,1,1,16348.06
129,2012-07-27,1,1,15731.18
130,2012-08-03,1,1,16628.31
131,2012-08-10,1,1,16119.92
132,2012-08-17,1,1,17330.7
133,2012-08-24,1,1,16286.4
134,2012-08-31,1,1,16680.24
135,2012-09-07,1,1,18322.37
136,2012-09-14,1,1,19616.22
137,2012-09-21,1,1,19251.5
138,2012-09-28,1,1,18947.81
139,2012-10-05,1,1,21904.47
140,2012-10-12,1,1,22764.01
141,2012-10-19,1,1,24185.27
142,2012-10-26,1,1,27390.81
256,2012-04-06,1,2,51805.88
257,2012-04-13,1,2,43991.18
258,2012-04-20,1,2,45561.85
259,2012-04-27,1,2,45456.23
260,2012-05-04,1,2,50501.3
261,2012-05-11,1,2,46717.76
262,2012-05-18,1,2,44411.23
263,2012-05-25,1,2,45817.07
264,2012-06-01,1,2,47425.29
265,2012-06-08,1,2,49439.58
266,2012-06-15,1,2,46637.48
267,2012-06-22,1,2,46075.0
268,2012-06-29,1,2,47629.14
269,2012-07-06,1,2,49771.92
270,2012-07-13,1,2,44411.95
271,2012-07-20,1,2,45108.22
272,2012-07-27,1,2,45008.22
273,2012-08-03,1,2,49424.06
274,2012-08-10,1,2,46729.91
275,2012-08-17,1,2,46350.97
276,2012-08-24,1,2,44972.52
277,2012-08-31,1,2,50995.5
278,2012-09-07,1,2,47344.5
279,2012-09-14,1,2,44493.61
280,2012-09-21,1,2,43541.07
281,2012-09-28,1,2,45784.76
282,2012-10-05,1,2,48577.08
283,2012-10-12,1,2,42112.67
284,2012-10-19,1,2,42354.72
285,2012-10-26,1,2,43134.88
399,2012-04-06,1,3,9335.24
400,2012-04-13,1,3,7927.73
401,2012-04-20,1,3,8647.36
402,2012-04-27,1,3,8635.62
403,2012-05-04,1,3,10655.35
404,2012-05-11,1,3,10342.72
405,2012-05-18,1,3,8609.82
406,2012-05-25,1,3,8345.33
407,2012-06-01,1,3,7175.77
408,2012-06-08,1,3,8614.64
409,2012-06-15,1,3,8016.26
410,2012-06-22,1,3,7301.41
411,2012-06-29,1,3,7577.59
412,2012-07-06,1,3,8473.71
413,2012-07-13,1,3,13126.15
414,2012-07-20,1,3,20126.95
415,2012-07-27,1,3,22716.7
