Datetime,Store,Weekly_Sales
2012-04-06,1,1899676.8799999997
2012-04-06,10,2163384.17
2012-04-06,11,1596325.01
2012-04-06,12,1128765.71
2012-04-06,13,2271614.76
2012-04-06,14,2376022.26
2012-04-06,15,659950.3600000002
2012-04-06,16,502662.07000000024
2012-04-06,17,986922.6199999999
2012-04-06,18,1200815.3000000003
2012-04-06,19,1631737.68
2012-04-06,2,2129035.91
2012-04-06,20,2565259.92
2012-04-06,21,761956.5799999998
2012-04-06,22,1197489.6599999997
2012-04-06,23,1604605.6899999995
2012-04-06,24,1524734.2899999998
2012-04-06,25,791356.9
2012-04-06,26,1116829.23
2012-04-06,27,1899013.3399999996
2012-04-06,28,1559592.7900000003
2012-04-06,29,633826.55
2012-04-06,3,503232.1299999999
2012-04-06,30,461511.92
2012-04-06,31,1496169.8100000003
2012-04-06,32,1270577.0099999998
2012-04-06,33,275911.97
2012-04-06,34,1091020.37
2012-04-06,35,860293.46
2012-04-06,36,331026.11000000004
2012-04-06,37,564848.78
2012-04-06,38,499267.66
2012-04-06,39,1764847.9400000002
2012-04-06,4,2470206.1300000004
2012-04-06,40,1132064.2299999997
2012-04-06,41,1460234.3100000003
2012-04-06,42,652312.1099999999
2012-04-06,43,658468.2699999999
2012-04-06,44,320021.10000000003
2012-04-06,45,899479.4299999998
2012-04-06,5,402985.70000000007
2012-04-06,6,1840131.19
2012-04-06,7,621425.9799999999
2012-04-06,8,1046816.5900000001
2012-04-06,9,677885.99
2012-04-13,1,1621031.7
2012-04-13,10,1974687.510000001
2012-04-13,11,1472752.01
2012-04-13,12,1083811.1900000002
2012-04-13,13,2057637.8600000003
2012-04-13,14,1912909.69
2012-04-13,15,558585.13
2012-04-13,16,450756.71
2012-04-13,17,877055.3199999997
2012-04-13,18,998443.4999999999
2012-04-13,19,1365098.4599999997
2012-04-13,2,1935869.1
2012-04-13,20,2045396.0599999998
2012-04-13,21,769319.0399999999
2012-04-13,22,939118.24
2012-04-13,23,1231752.5399999998
2012-04-13,24,1285783.8699999999
2012-04-13,25,658691.5599999999
2012-04-13,26,889670.2900000002
2012-04-13,27,1650405.2099999997
2012-04-13,28,1290684.9499999997
2012-04-13,29,520493.82999999996
2012-04-13,3,420789.7399999999
2012-04-13,30,428784.7000000001
2012-04-13,31,1407842.91
2012-04-13,32,1171834.4699999997
2012-04-13,33,312698.6699999999
2012-04-13,34,987353.6499999999
2012-04-13,35,788633.4199999999
2012-04-13,36,339407.94000000006
2012-04-13,37,506973.1700000001
2012-04-13,38,435790.7399999999
2012-04-13,39,1580732.7299999997
2012-04-13,4,2105301.39
2012-04-13,40,857811.1699999999
2012-04-13,41,1323004.7299999995
2012-04-13,42,639123.45
2012-04-13,43,665687.92
2012-04-13,44,311390.22
2012-04-13,45,781970.6000000002
2012-04-13,5,351832.0300000001
2012-04-13,6,1616394.4500000002
2012-04-13,7,517420.23000000004
2012-04-13,8,909989.4500000001
2012-04-13,9,578539.86
2012-04-20,1,1521577.8699999999
2012-04-20,10,1777166.5299999998
2012-04-20,11,1315356.9900000002
2012-04-20,12,1006486.9599999998
2012-04-20,13,1955689.1200000003
2012-04-20,14,1875686.4399999995
2012-04-20,15,534780.5699999997
2012-04-20,16,436221.26000000007
2012-04-20,17,1119979.98
2012-04-20,18,1025813.8
2012-04-20,19,1255087.2599999998
2012-04-20,2,1847344.4500000002
2012-04-20,20,1884427.8399999992
2012-04-20,21,734858.9100000004
2012-04-20,22,1000342.8700000006
2012-04-20,23,1287899.41
2012-04-20,24,1208654.3999999994
2012-04-20,25,661566.4799999997
2012-04-20,26,923600.0200000001
2012-04-20,27,1639999.4699999995
2012-04-20,28,1180797.2000000002
2012-04-20,29,525200.5900000001
2012-04-20,3,434822.1299999999
2012-04-20,30,462909.4099999999
2012-04-20,31,1407036.5899999999
2012-04-20,32,1121405.9100000001
2012-04-20,33,261837.2
2012-04-20,34,977628.78
2012-04-20,35,794660.2400000003
2012-04-20,36,323915.31999999995
2012-04-20,37,523483.19000000006
2012-04-20,38,401615.7999999999
2012-04-20,39,1433391.0399999996
2012-04-20,4,2144336.8899999987
2012-04-20,40,896979.9299999999
2012-04-20,41,1220815.33
2012-04-20,42,552529.2299999999
2012-04-20,43,638144.98
2012-04-20,44,323233.8
2012-04-20,45,776661.7400000003
2012-04-20,5,330063.05999999994
2012-04-20,6,1456073.2399999995
2012-04-20,7,457340.06
2012-04-20,8,872288.4600000001
2012-04-20,9,542819.0299999999
2012-04-27,1,1468928.3699999994
2012-04-27,10,1712987.5600000003
2012-04-27,11,1236238.29
2012-04-27,12,1004252.3800000002
2012-04-27,13,1970121.6499999997
2012-04-27,14,1784029.95
2012-04-27,15,527402.6199999999
2012-04-27,16,398445.1500000001
2012-04-27,17,925916.6500000003
2012-04-27,18,961186.2300000001
2012-04-27,19,1285897.24
2012-04-27,2,1764133.0899999996
2012-04-27,20,1886503.9300000002
2012-04-27,21,674829.58
2012-04-27,22,922539.9400000002
2012-04-27,23,1277758.7599999998
2012-04-27,24,1194334.6500000001
2012-04-27,25,655157.32
2012-04-27,26,911968.9999999999
2012-04-27,27,1565498.84
2012-04-27,28,1170456.1600000001
2012-04-27,29,497250.22000000003
2012-04-27,3,394616.1099999999
2012-04-27,30,433744.83
2012-04-27,31,1311352.25
2012-04-27,32,1126962.44
2012-04-27,33,249798.75000000003
2012-04-27,34,940299.8700000001
2012-04-27,35,721212.4499999998
2012-04-27,36,308389.82
2012-04-27,37,528807.4500000001
2012-04-27,38,419964.77
2012-04-27,39,1456997.2000000002
2012-04-27,4,2064065.6599999997
2012-04-27,40,875372.9099999999
2012-04-27,41,1248950.65
2012-04-27,42,526625.4900000001
2012-04-27,43,593138.5900000002
2012-04-27,44,330338.36
2012-04-27,45,711571.88
2012-04-27,5,324839.74
2012-04-27,6,1456221.0999999992
2012-04-27,7,467827.75000000006
2012-04-27,8,879448.2500000001
2012-04-27,9,550414.99
2012-05-04,1,1684519.99
2012-05-04,10,1821364.4199999997
2012-05-04,11,1370251.2200000002
2012-05-04,12,1073433.6900000002
2012-05-04,13,1995994.5100000002
2012-05-04,14,1949354.2900000003
2012-05-04,15,577868.3799999999
2012-05-04,16,426959.62000000017
2012-05-04,17,930121.1399999997
2012-05-04,18,1050027.8900000001
2012-05-04,19,1405007.4400000002
2012-05-04,2,1923957.0900000003
2012-05-04,20,2163510.89
2012-05-04,21,697645.32
2012-05-04,22,1005083.3099999998
2012-05-04,23,1317379.68
2012-05-04,24,1306551.71
2012-05-04,25,696421.72
2012-05-04,26,946573.29
2012-05-04,27,1669388.45
2012-05-04,28,1450628.8500000003
2012-05-04,29,504963.8400000001
2012-05-04,3,439913.5699999999
2012-05-04,30,454477.5399999999
2012-05-04,31,1391257.2800000003
2012-05-04,32,1187384.5299999996
2012-05-04,33,270497.51
2012-05-04,34,991104.4
2012-05-04,35,772036.6000000003
2012-05-04,36,312467.5200000001
2012-05-04,37,535311.64
2012-05-04,38,491755.68999999994
2012-05-04,39,1512227.34
2012-05-04,4,2196968.3299999996
2012-05-04,40,993311.5899999996
2012-05-04,41,1359770.7299999997
2012-05-04,42,609274.89
2012-05-04,43,637964.2000000002
2012-05-04,44,326053.2799999999
2012-05-04,45,782300.6800000003
2012-05-04,5,360932.69000000006
2012-05-04,6,1543461.12
2012-05-04,7,465198.8900000001
2012-05-04,8,937232.0899999999
2012-05-04,9,586289.0800000001
2012-05-11,1,1611096.05
2012-05-11,10,1792345.299999999
2012-05-11,11,1300147.07
2012-05-11,12,1041995.2200000001
2012-05-11,13,2080764.1699999992
2012-05-11,14,1987531.0499999996
2012-05-11,15,579539.95
2012-05-11,16,479855.00000000006
2012-05-11,17,944100.3000000002
2012-05-11,18,1060433.1000000003
2012-05-11,19,1442873.22
2012-05-11,2,1917520.99
2012-05-11,20,2168097.11
2012-05-11,21,649945.5399999999
2012-05-11,22,997868.6300000001
2012-05-11,23,1321914.34
2012-05-11,24,1355391.7899999998
2012-05-11,25,739866.1599999999
2012-05-11,26,1062548.73
2012-05-11,27,1674306.31
2012-05-11,28,1264575.1800000002
2012-05-11,29,529707.8700000001
2012-05-11,3,431985.36000000016
2012-05-11,30,436070.45
2012-05-11,31,1392938.06
2012-05-11,32,1187051.07
2012-05-11,33,295841.83999999997
2012-05-11,34,949625.5199999999
2012-05-11,35,802383.6299999999
2012-05-11,36,330518.33999999997
2012-05-11,37,527983.04
2012-05-11,38,429914.60000000003
2012-05-11,39,1470792.4100000004
2012-05-11,4,2127661.17
2012-05-11,40,967729.35
2012-05-11,41,1353285.0999999999
2012-05-11,42,643603.6900000001
2012-05-11,43,640159.04
2012-05-11,44,341381.07999999996
2012-05-11,45,770487.3700000001
2012-05-11,5,333870.5200000001
2012-05-11,6,1517075.6700000002
2012-05-11,7,460397.41000000003
2012-05-11,8,920128.89
2012-05-11,9,592572.2999999998
2012-05-18,1,1595901.8699999996
2012-05-18,10,1795152.7299999997
2012-05-18,11,1352442.3099999998
2012-05-18,12,1020486.05
2012-05-18,13,2131900.55
2012-05-18,14,1932233.1699999997
2012-05-18,15,600050.9800000001
2012-05-18,16,493506.4700000002
2012-05-18,17,968816.3300000002
2012-05-18,18,1047444.59
2012-05-18,19,1366937.1
2012-05-18,2,2000940.6699999995
2012-05-18,20,2039222.26
2012-05-18,21,700554.1599999999
2012-05-18,22,986612.0200000003
2012-05-18,23,1332952.4700000002
2012-05-18,24,1298809.7999999998
2012-05-18,25,717207.19
2012-05-18,26,978082.8400000001
2012-05-18,27,1707158.8199999998
2012-05-18,28,1213310.4500000004
2012-05-18,29,543706.0399999999
2012-05-18,3,418112.75999999995
2012-05-18,30,460945.1400000001
2012-05-18,31,1441473.82
2012-05-18,32,1177539.7100000002
2012-05-18,33,276899.95
2012-05-18,34,998672.85
2012-05-18,35,819196.6799999997
2012-05-18,36,324801.13
2012-05-18,37,534847.9600000001
2012-05-18,38,412314.70999999996
2012-05-18,39,1522978.5399999998
2012-05-18,4,2207214.8100000005
2012-05-18,40,896295.4099999995
2012-05-18,41,1331514.44
2012-05-18,42,590636.3800000001
2012-05-18,43,648541.8099999999
2012-05-18,44,334042.43
