Datetime,Store,Weekly_Sales
2010-02-05,1,1643690.9
2010-02-05,10,2193048.749999999
2010-02-05,11,1528008.6400000004
2010-02-05,12,1100046.3699999999
2010-02-05,13,1967220.5299999996
2010-02-05,14,2623469.950000001
2010-02-05,15,652122.4400000001
2010-02-05,16,477409.2999999998
2010-02-05,17,789036.02
2010-02-05,18,1205307.5
2010-02-05,19,1507637.1699999997
2010-02-05,2,2136989.46
2010-02-05,20,2401395.4699999993
2010-02-05,21,798593.8799999999
2010-02-05,22,1033017.3699999999
2010-02-05,23,1364721.5799999998
2010-02-05,24,1388725.6300000004
2010-02-05,25,677231.6299999999
2010-02-05,26,1034119.2099999997
2010-02-05,27,1874289.7899999996
2010-02-05,28,1672352.2900000003
2010-02-05,29,538634.4599999998
2010-02-05,3,461622.22
2010-02-05,30,465108.5200000001
2010-02-05,31,1469252.05
2010-02-05,32,1087616.1899999995
2010-02-05,33,274593.43
2010-02-05,34,956228.9600000001
2010-02-05,35,1230613.4999999998
2010-02-05,36,467546.74
2010-02-05,37,536006.7300000001
2010-02-05,38,358496.13999999996
2010-02-05,39,1230596.8000000003
2010-02-05,4,2135143.87
2010-02-05,40,1001943.8000000002
2010-02-05,41,1086533.18
2010-02-05,42,543384.01
2010-02-05,43,647029.2799999999
2010-02-05,44,281090.95
2010-02-05,45,890689.51
2010-02-05,5,317173.0999999999
2010-02-05,6,1652635.1
2010-02-05,7,496725.44
2010-02-05,8,1004137.0899999995
2010-02-05,9,549505.5499999999
2010-02-12,1,1641957.4399999997
2010-02-12,10,2176028.52
2010-02-12,11,1574684.08
2010-02-12,12,1117863.3299999994
2010-02-12,13,2030933.4599999995
2010-02-12,14,1704218.84
2010-02-12,15,682447.1000000001
2010-02-12,16,472044.27999999997
2010-02-12,17,841951.9099999999
2010-02-12,18,1187880.7000000002
2010-02-12,19,1536549.95
2010-02-12,2,2137809.499999999
2010-02-12,20,2109107.9
2010-02-12,21,809321.4400000001
2010-02-12,22,1022571.2500000001
2010-02-12,23,1380892.08
2010-02-12,24,1414107.0999999999
2010-02-12,25,583364.0200000001
2010-02-12,26,1015684.09
2010-02-12,27,1745362.7200000004
2010-02-12,28,1558968.49
2010-02-12,29,529672.95
2010-02-12,3,420728.96
2010-02-12,30,497374.57
2010-02-12,31,1543947.2299999997
2010-02-12,32,1123566.12
2010-02-12,33,294882.83
2010-02-12,34,994610.9899999999
2010-02-12,35,1168815.3100000003
2010-02-12,36,469563.7
2010-02-12,37,529852.7
2010-02-12,38,342214.9
2010-02-12,39,1266229.0700000003
2010-02-12,4,2188307.39
2010-02-12,40,955338.2899999999
2010-02-12,41,1075656.3399999999
2010-02-12,42,575709.9600000001
2010-02-12,43,682918.9900000001
2010-02-12,44,286857.13000000006
2010-02-12,45,656988.6400000001
2010-02-12,5,311825.6999999999
2010-02-12,6,1606283.8599999996
2010-02-12,7,524104.9200000001
2010-02-12,8,994801.3999999997
2010-02-12,9,552677.4800000001
2010-02-19,1,1611968.17
2010-02-19,10,2113432.579999999
2010-02-19,11,1503298.6999999997
2010-02-19,12,1095421.65
2010-02-19,13,1970274.64
2010-02-19,14,2204556.7
2010-02-19,15,660838.7500000001
2010-02-19,16,469868.7
2010-02-19,17,800713.9999999998
2010-02-19,18,1150663.4199999997
2010-02-19,19,1515976.11
2010-02-19,2,2124451.5400000005
2010-02-19,20,2161549.7600000002
2010-02-19,21,867283.2499999998
2010-02-19,22,988467.6099999994
2010-02-19,23,1319588.0399999996
2010-02-19,24,1385362.49
2010-02-19,25,676260.6699999999
2010-02-19,26,999348.55
2010-02-19,27,1945070.3300000003
2010-02-19,28,1491300.4200000002
2010-02-19,29,542399.07
2010-02-19,3,421642.1899999999
2010-02-19,30,463513.26000000007
2010-02-19,31,1473386.7499999998
2010-02-19,32,1082559.0599999996
2010-02-19,33,296850.83
2010-02-19,34,983963.0699999998
2010-02-19,35,1270658.64
2010-02-19,36,470281.03
2010-02-19,37,510382.49999999994
2010-02-19,38,327237.92
2010-02-19,39,1230591.9700000004
2010-02-19,4,2049860.259999999
2010-02-19,40,916289.2
2010-02-19,41,1052034.7399999998
2010-02-19,42,508794.87
2010-02-19,43,658997.5499999999
2010-02-19,44,267956.3
2010-02-19,45,841264.04
2010-02-19,5,303447.5700000001
2010-02-19,6,1567138.07
2010-02-19,7,506760.53999999986
2010-02-19,8,963960.3700000002
2010-02-19,9,511327.9
2010-02-26,1,1409727.5900000003
2010-02-26,10,2006774.9600000002
2010-02-26,11,1336404.6500000001
2010-02-26,12,1048617.1699999997
2010-02-26,13,1817850.32
2010-02-26,14,2095591.6299999997
2010-02-26,15,564883.2
2010-02-26,16,443242.17
2010-02-26,17,749549.55
2010-02-26,18,1068157.4500000004
2010-02-26,19,1373270.0599999998
2010-02-26,2,1865097.27
2010-02-26,20,1898193.9499999995
2010-02-26,21,749597.2399999999
2010-02-26,22,899761.4799999999
2010-02-26,23,1198709.6499999997
2010-02-26,24,1158722.74
2010-02-26,25,628516.5700000001
2010-02-26,26,855385.01
2010-02-26,27,1390934.2699999998
2010-02-26,28,1542173.33
2010-02-26,29,488417.61000000016
2010-02-26,3,407204.86
2010-02-26,30,472330.70999999996
2010-02-26,31,1344354.4100000001
2010-02-26,32,1053247.0999999999
2010-02-26,33,284052.77
2010-02-26,34,905756.1300000001
2010-02-26,35,1020651.7400000001
2010-02-26,36,447519.44
2010-02-26,37,513615.82000000007
2010-02-26,38,334222.7299999999
2010-02-26,39,1168582.0199999998
2010-02-26,4,1925728.84
2010-02-26,40,863917.4099999999
2010-02-26,41,991941.7299999999
2010-02-26,42,491510.5800000001
2010-02-26,43,618702.7899999999
2010-02-26,44,273079.07
2010-02-26,45,741891.6500000001
2010-02-26,5,270281.63
2010-02-26,6,1432953.2100000002
2010-02-26,7,496083.2400000001
2010-02-26,8,847592.1099999999
2010-02-26,9,473773.27
2010-03-05,1,1554806.68
2010-03-05,10,1987090.09
2010-03-05,11,1426622.6499999997
2010-03-05,12,1077018.27
2010-03-05,13,1939980.4300000004
2010-03-05,14,2237544.75
2010-03-05,15,605325.4299999998
2010-03-05,16,444181.85
2010-03-05,17,783300.0500000002
2010-03-05,18,1179738.5000000002
2010-03-05,19,1495844.5699999998
2010-03-05,2,1991013.1300000001
2010-03-05,20,2119213.7199999997
2010-03-05,21,747444.32
2010-03-05,22,1009201.2400000002
2010-03-05,23,1311175.93
2010-03-05,24,1412387.37
2010-03-05,25,665750.06
2010-03-05,26,1005669.5800000001
2010-03-05,27,1313729.7199999997
2010-03-05,28,1608435.4500000002
2010-03-05,29,535087.91
2010-03-05,3,415202.04
2010-03-05,30,472591.06999999995
2010-03-05,31,1384870.51
2010-03-05,32,1066566.74
2010-03-05,33,291484.88999999996
2010-03-05,34,918295.7899999999
2010-03-05,35,1162610.2699999998
2010-03-05,36,480203.43000000005
2010-03-05,37,519255.6799999998
2010-03-05,38,372239.88999999996
2010-03-05,39,1266254.2099999997
2010-03-05,4,1971057.4400000004
2010-03-05,40,990152.2799999997
2010-03-05,41,1063557.4900000002
2010-03-05,42,554972.4199999999
2010-03-05,43,658600.05
2010-03-05,44,284617.26999999996
2010-03-05,45,777951.2200000003
2010-03-05,5,288855.71000000014
2010-03-05,6,1601348.8200000003
2010-03-05,7,491419.5499999999
2010-03-05,8,881503.9499999997
2010-03-05,9,507297.8800000001
2010-03-12,1,1439541.5900000005
2010-03-12,10,1941346.1300000001
2010-03-12,11,1331883.1599999997
2010-03-12,12,985594.23
2010-03-12,13,1840686.9400000002
2010-03-12,14,2156035.06
2010-03-12,15,604173.5900000001
2010-03-12,16,445393.74
2010-03-12,17,763961.82
2010-03-12,18,1138800.32
2010-03-12,19,1467889.2
2010-03-12,2,1990483.7799999998
2010-03-12,20,2010974.84
2010-03-12,21,712312.89
2010-03-12,22,967187.3700000001
2010-03-12,23,1408082.9599999995
2010-03-12,24,1309340.16
2010-03-12,25,660619.9900000001
2010-03-12,26,963382.0899999997
2010-03-12,27,1925113.12
2010-03-12,28,1326877.1099999999
2010-03-12,29,519042.49
2010-03-12,3,384200.69000000006
2010-03-12,30,468189.93
2010-03-12,31,1366193.3499999999
2010-03-12,32,1093319.3700000003
2010-03-12,33,312161.0
2010-03-12,34,921247.8800000001
2010-03-12,35,1150344.39
2010-03-12,36,441434.19999999995
2010-03-12,37,513015.35000000003
2010-03-12,38,342023.92000000004
2010-03-12,39,1244391.83
2010-03-12,4,1894324.09
2010-03-12,40,899352.4000000001
2010-03-12,41,1023997.7099999998
2010-03-12,42,588363.62
2010-03-12,43,645386.9400000001
2010-03-12,44,272190.82999999996
2010-03-12,45,765687.4200000002
2010-03-12,5,297293.5900000001
2010-03-12,6,1558621.36
2010-03-12,7,480452.1
2010-03-12,8,860336.16
2010-03-12,9,494145.7999999999
2010-03-19,1,1472515.7899999998
2010-03-19,10,1946875.0599999991
2010-03-19,11,1364207.0
2010-03-19,12,972088.3399999999
2010-03-19,13,1879794.89
2010-03-19,14,2066219.3000000003
2010-03-19,15,593710.6699999997
2010-03-19,16,504307.34999999986
2010-03-19,17,752034.5199999998
2010-03-19,18,1087507.4700000002
2010-03-19,19,1332940.3499999996
2010-03-19,2,1946070.8800000006
2010-03-19,20,1951848.4299999992
2010-03-19,21,727069.9999999999
2010-03-19,22,966145.0899999997
2010-03-19,23,1229008.3199999996
2010-03-19,24,1222511.2900000003
2010-03-19,25,659795.84
2010-03-19,26,903366.55
2010-03-19,27,1700627.9700000002
2010-03-19,28,1279819.4300000002
2010-03-19,29,496851.6
2010-03-19,3,375328.58999999997
2010-03-19,30,445736.3599999999
2010-03-19,31,1332261.01
2010-03-19,32,1059781.78
2010-03-19,33,282235.73
2010-03-19,34,892070.8200000002
2010-03-19,35,1117536.0899999999
2010-03-19,36,428851.99
2010-03-19,37,460020.73999999993
2010-03-19,38,333025.47
2010-03-19,39,1301590.13
2010-03-19,4,1897429.3599999999
2010-03-19,40,894865.3000000002
2010-03-19,41,1006597.6900000001
2010-03-19,42,519914.10000000003
2010-03-19,43,668098.49
2010-03-19,44,269624.2
2010-03-19,45,773819.4900000001
2010-03-19,5,281706.41
2010-03-19,6,1693058.9100000001
2010-03-19,7,574450.2300000001
2010-03-19,8,839910.9999999999
2010-03-19,9,485744.61
2010-03-26,1,1404429.9200000004
2010-03-26,10,1893532.4600000004
2010-03-26,11,1245624.2699999998
2010-03-26,12,981615.8099999997
2010-03-26,13,1882095.9799999995
2010-03-26,14,2050396.2700000003
2010-03-26,15,592111.4900000002
2010-03-26,16,483177.1999999997
2010-03-26,17,793097.64
2010-03-26,18,1092704.09
2010-03-26,19,1427023.45
2010-03-26,2,1750197.81
2010-03-26,20,1894742.9500000002
2010-03-26,21,686497.5300000001
2010-03-26,22,1012075.1200000001
2010-03-26,23,1310701.8
2010-03-26,24,1258311.5599999994
2010-03-26,25,696687.6
2010-03-26,26,893612.9999999998
2010-03-26,27,1836714.84
2010-03-26,28,1245268.7699999996
2010-03-26,29,552985.34
2010-03-26,3,359949.27
2010-03-26,30,442457.3499999999
2010-03-26,31,1229635.7
2010-03-26,32,1076021.5800000003
2010-03-26,33,262893.76
2010-03-26,34,880742.3499999997
2010-03-26,35,1078900.4400000002
2010-03-26,36,404438.50999999995
2010-03-26,37,515777.97000000015
2010-03-26,38,335858.11
2010-03-26,39,1235094.6600000004
2010-03-26,4,1762539.2999999998
2010-03-26,40,873354.5799999998
2010-03-26,41,1015196.46
2010-03-26,42,478021.68000000005
2010-03-26,43,623097.93
2010-03-26,44,276279.49
2010-03-26,45,782563.3800000001
2010-03-26,5,273282.97
2010-03-26,6,1472033.3800000001
2010-03-26,7,514731.59999999986
2010-03-26,8,772539.1199999998
2010-03-26,9,484946.5599999999
2010-04-02,1,1594968.2799999998
2010-04-02,10,2138651.9700000007
2010-04-02,11,1446210.26
2010-04-02,12,1011822.2999999999
2010-04-02,13,2142482.1399999997
2010-04-02,14,2495630.5099999993
