,Dtype,NumberofNans,count,unique_values_count,top_unique_value,top_unique_value_freq,mean,std,min,25%,50%,75%,max,list_unique_values
Store,int64,0,8190.0,,,,23.0,12.987966099513997,1.0,12.0,23.0,34.0,45.0,"[(43, 182, '0.02'), (41, 182, '0.02'), (33, 182, '0.02'), (29, 182, '0.02'), (25, 182, '0.02'), (21, 182, '0.02'), (17, 182, '0.02'), (13, 182, '0.02'), (9, 182, '0.02'), (5, 182, '0.02')]"
Date,object,0,8190.0,182.0,2010-12-03,45.0,,,,,,,,"[('2010-12-03', 45, '0.01'), ('2013-05-31', 45, '0.01'), ('2012-12-14', 45, '0.01'), ('2010-03-19', 45, '0.01'), ('2010-04-09', 45, '0.01'), ('2011-03-18', 45, '0.01'), ('2011-04-01', 45, '0.01'), ('2013-03-22', 45, '0.01'), ('2011-10-14', 45, '0.01'), ('2011-06-24', 45, '0.01')]"
Temperature,float64,0,8190.0,,,,59.35619780219781,18.678606848907176,-7.29,45.902499999999996,60.71,73.88,101.95,"[(50.43, 11, '0.00'), (70.28, 11, '0.00'), (67.87, 10, '0.00'), (76.67, 9, '0.00'), (72.62, 9, '0.00'), (70.87, 9, '0.00'), (76.03, 9, '0.00'), (53.59, 8, '0.00'), (50.81, 8, '0.00'), (40.65, 8, '0.00')]"
Fuel_Price,float64,0,8190.0,,,,3.4059918192918217,0.4313365711007161,2.472,3.0410000000000004,3.513,3.7430000000000003,4.468,"[(3.417, 43, '0.01'), (3.638, 43, '0.01'), (3.63, 40, '0.00'), (3.583, 39, '0.00'), (3.62, 37, '0.00'), (3.622, 31, '0.00'), (3.5239999999999996, 31, '0.00'), (3.227, 30, '0.00'), (3.611, 30, '0.00'), (3.6660000000000004, 30, '0.00')]"
MarkDown1,float64,4158,4032.0,,,,7032.371785714266,9262.74744752369,-2781.45,1577.5324999999998,4743.58,8923.310000000001,103184.98,"[(1.5, 2, '0.00'), (4855.31, 2, '0.00'), (175.64, 2, '0.00'), (8.62, 2, '0.00'), (2920.43, 2, '0.00'), (17.01, 2, '0.00'), (150.46, 2, '0.00'), (6510.79, 2, '0.00'), (460.73, 2, '0.00'), (9405.43, 1, '0.00')]"
MarkDown2,float64,5269,2921.0,,,,3384.176593632328,8793.58301550763,-265.76,68.88,364.57,2153.35,104519.54,"[(3.0, 11, '0.00'), (1.5, 10, '0.00'), (4.0, 9, '0.00'), (0.5, 9, '0.00'), (1.91, 8, '0.00'), (0.03, 8, '0.00'), (6.0, 7, '0.00'), (11.0, 5, '0.00'), (3.82, 5, '0.00'), (0.01, 5, '0.00')]"
MarkDown3,float64,4577,3613.0,,,,1760.1001799058915,11276.462208022962,-179.26,6.6,36.26,163.15,149483.31,"[(1.0, 17, '0.00'), (3.0, 15, '0.00'), (2.0, 15, '0.00'), (6.0, 14, '0.00'), (0.6, 12, '0.00'), (4.0, 11, '0.00'), (1.2, 10, '0.00'), (0.24, 9, '0.00'), (0.5, 9, '0.00'), (0.3, 9, '0.00')]"
MarkDown4,float64,4726,3464.0,,,,3292.935886258671,6792.329861347639,0.22,304.6875,1176.425,3310.0075,67474.85,"[(3.0, 5, '0.00'), (2.61, 4, '0.00'), (4.0, 4, '0.00'), (2.0, 4, '0.00'), (9.0, 4, '0.00'), (2.5, 4, '0.00'), (8.0, 3, '0.00'), (0.63, 3, '0.00'), (3.97, 3, '0.00'), (12.0, 3, '0.00')]"
MarkDown5,float64,4140,4050.0,,,,4132.216422222234,13086.690278200185,-185.17,1440.8274999999999,2727.135,4832.555,771448.1,"[(3113.78, 2, '0.00'), (986.23, 2, '0.00'), (1327.97, 2, '0.00'), (2743.18, 2, '0.00'), (1064.56, 2, '0.00'), (6207.39, 1, '0.00'), (4281.12, 1, '0.00'), (3874.92, 1, '0.00'), (1421.63, 1, '0.00'), (7063.68, 1, '0.00')]"
CPI,float64,585,7605.0,,,,172.46080918276078,39.73834609860845,126.064,132.3648387,182.7640032,213.9324122,228.9764563,"[(132.71609679999997, 33, '0.00'), (139.1226129, 24, '0.00'), (201.0705712, 12, '0.00'), (224.80253140000002, 12, '0.00'), (129.8980645, 11, '0.00'), (130.683, 11, '0.00'), (129.77064520000002, 11, '0.00'), (132.4668065, 11, '0.00'), (130.73787099999998, 11, '0.00'), (129.8364, 11, '0.00')]"
Unemployment,float64,585,7605.0,,,,7.826821038790305,1.87725859391744,3.6839999999999997,6.6339999999999995,7.806,8.567,14.312999999999999,"[(8.099, 78, '0.01'), (8.163, 56, '0.01'), (7.852, 56, '0.01'), (8.625, 54, '0.01'), (6.237, 52, '0.01'), (8.2, 52, '0.01'), (6.17, 52, '0.01'), (7.931, 52, '0.01'), (6.891, 52, '0.01'), (7.441, 52, '0.01')]"
IsHoliday,bool,0,8190.0,2.0,False,7605.0,,,,,,,,"[(False, 7605, '0.93'), (True, 585, '0.07')]"
